,Name,Homepage,E-Mail-Adresse,tel,Kontaktperson,,persönlicher Kontakt,Informiert Email,informiert Anruf,Rückmeldung,,
,Radlobby Leithaebene,,leithaebene@radlobby.at,,,,,25.01,,,,
,Radlobby Melk,,melk@radlobby.at,,,,,25.01,,,,
,Radlobby Mistelbach,,mistelbach@radlobby.at,,,,,25.01,,,,
,Radlobby Mödling,,moedling@radlobby.at,,,,,25.01,,,,
,Radlobby Poysdorf,,poysdorf@radlobby.at,,,,,25.01,,,,
,Radlobby Pressbaum,,pressbaum@radlobby.at,,,,,25.01,,,,
,Radlobby Purkersdorf,,purkersdorf@radlobby.at,,,,,25.01,,,,
,Radlobby Schwarzatal,,schwarzatal@radlobby.at,,,,,25.01,,,,
,Radlobby Stockerau,,stockerau@radlobby.at,,,,,25.01,,,,
,Connect Mödling,https://www.connectmoedling.at/,hilfe@connectmoedling.at,,,,,25.01,,,,
Pfadfinder-Gruppen,,,,,,,,,,,,
,Pfadfinder Niederösterreich,landesleiter@noe-pfadfinder.at,"landesleiterin@noe-pfadfinder.at, office@noe-pfadfinder.at, marcel.gass@ppoe.at",02243/83 756,"Marcel Gaß: 0664 4821385, Florian Lindenbauer: 0699 10696977",,Flora,Frida hat Email geschrieben,ja,dabei,,
,PfadfinderInnen St. Pölten,http://www.pfadis-poelten.at/,office@pfadis-poelten.at,,,,Johanna,25.01,ja,dabei,,
,PfadfinderInnen St. Pölten - Viehofen,https://www.stpv.at/stpv/index.php/kontakt,"sabine.marjanov@stpv.at, florian.lindenbauer@stpv.at",,,,Johanna,25.01,ja,dabei,,
,Pfadfindergruppe Krems,https://www.pfadi-krems.at/kontakte/,gruppenleitung@pfadi-krems.at,,,,,25.01,,,,
,Pfadfindergruppe Pöchlarn,http://www.pfadfinderpoechlarn.at/kontakt/,gfpoechlarn@gmail.com,,,,,25.01,,,,
,Pfadfindergruppe Amstetten,https://www.pfadfinder-amstetten.at/,gf@pfadfinder-amstetten.at,,,,,25.01,,,,
,Pfadfindergruppe Tulln,http://pfadfinder-tulln.at/,gf@pfadfinder-tulln.at,,,,,25.01,,,,
,Pfadfindergruppe Egelsee,http://pfadi-egelsee.at/kontakt.html,gf.egelsee@gmx.at,,,,,25.01,,,,
,Pfadfindergruppe Gablitz,https://www.pfadfinder-gablitz.at/,info@pfadfinder-gablitz.at,,,,,25.01,,,,
,Pfadfindergruppe Gföhl,http://www.pfadfinder-gfoehl.at/,pfadfinder.gfoehl@gmx.at,,,,,25.01,,,,
,Pfadfindergruppe Karlstetten,http://pfadfinder-karlstetten.at/,pfadfinder.karlstetten@gmx.at,,,,,25.01,,,,
,Pfadfindergruppe Lilienfeld,http://lilienfeld.scout.at/kontakt/,pfadfindergruppe.lilienfeld@gmx.at,,,,,25.01,,,,
,Pfadfindergruppe Markersdorf,https://www.pfadfinder-markersdorf.at/kontakt.html,,,,,,25.01,,,,
,Pfadfindergruppe Wilhelmsburg,https://www.pfadfinder-wilhelmsburg.at/,kontakt@pfadfinder-wilhelmsburg.at,,,,,25.01,,,,
,Pfadfindergruppe Wr. Neustadt,,,,Melanie Schreier,,Alina,,ja,,,
,Pfadfindergruppe Baden,,ronja.kok@ppoe.at,,Ronja Kok,,Martin,,,,,
,Pfadfindergruppe Baden,,jakob.weigl@gmail.com,,Jakob Weigl,,martin,,,,,
Weltladen,,,,,"Meine Frau (Martin) ist GF im Weltladen Baden und hat daher direkten Kontakt zu den Wletläden in NÖ; Darüber hinaus ist das Thema der Weltläden 2022 ""climate justice""",,,,,,,
,Weltladen St. Pölten,,info@weltladen-stpoelten.at,,,,,25.01,,,,
,Weltladen Krems,,info@weltladen-krems.at,,,,Max,25.01,,,,
,Weltladen Scheibbs,,weltladen-scheibbs@aon.at,,,,,25.01,,,,
,Weltladen Amstetten,,amstetten@weltladen.at,,,,,25.01,,,,
,Weltladen Waidhofen,,waidhofen@weltladen.at,,,,,25.01,,,,
,Weltladen Zwettl,,zwettl@weltladen.at,,,,,25.01,,,,
,Weltladen Horn,,weltladen.horn@gmail.com,,,,,25.01,,,,
,Weltladen Retz,,retz@weltladen.at,,,,,25.01,,,,
,Weltladen Hollabrunn,,weltladen.hollabrunn@yahoo.de,,,,,25.01,,,,
,Weltladen Tulln,,office@weltladen-tulln.at,,,,,25.01,,,,
,Weltladen Stockerau,,stockerau@weltladen.at,,,,,25.01,,,,
,Weltladen Laa an der Thaya,,info@welteinladen.at,,,,,25.01,,,,
,Weltladen Poysdorf,,Poysdorf@weltladen.at,,,,,25.01,,,,
,Weltladen Mistelbach,,weltladen.mistelbach@aon.at,,,,,25.01,,,,
,Weltladen Gänserndorf,,gaenserndorf@weltladen.at,,,,,25.01,,,,
,Weltladen Mödling,,moedling@weltladen.at,,,,,25.01,,,,
,Weltladen Baden,,info@weltladen-baden.at,,,,Martin,25.01,,,,
,Weltladen Ebreichsdorf,,ebreichsdorf@weltladen.at,,,,,25.01,,,,
,Weltladen Wr. Neustadt,,wr.neustadt@weltladen.at,,Christoph,,Alina,25.01,ja,,,
,Weltladen Bad Erlach,,baderlacherweltladen@a1.net,,,,,25.01,,,,
,Weltladen Lanzenkirchen,,lanzenkirchen@weltladen.at,,,,,25.01,,,,
Andere Klima-Orgas,,,,,,,,,,,,
,Time for change,https://timeforchange.world/kontakt/,office@bjv.at,0676/88011-1145,Maria Lettner,,Flora,25.01,ja,SoMe Mobi,,
,Prima Klima Perchtoldsdorf,https://www.primaklimaperchtoldsdorf.at,primaklima.perchtoldsdorf@gmail.com,,,,,25.01,,,,
,Unsere Westbahnstrecke - Maria Anzbach,https://www.facebook.com/unserewestbahnstrecke.at,,,,,,25.01,,,,
,Verkehr 4.0,https://verkehr40.at/#,verkehr4.0@gmail.com,,,,,25.01,,,,
,Donauuferbahn Jetzt,https://www.donauuferbahn.com/,donauuferbahn.jetzt@gmx.com,,,,,25.01,,,,
,Verkehrs- und Regionalforum Waldviertel,http://www.verkehrsforumw4.at/,kontakt@verkehrsforumw4.at,,,,,25.01,,,,
,Verkehrswende Tulln-Klosterneuburg,https://www.verkehrswende-tukg.at,kontakt@verkehrswende-tukg.at,,,,,25.01,,,,
,Naturschutzbund Niederösterreich,https://www.noe-naturschutzbund.at/,noe@naturschutzbund.at,,,,,25.01,,,,
,Exit Green,,exitgreen@gmx.at,,,,,25.01,Idee: Anfrage wegen Radiobeitrag?,,,
,Landgarten,,,,Herbert Stava,,Martin,,,,,
,Landrettung St. Pölten,,info@landrettung.at,,,,Martin,25.01,,,,
,Lebenswertes Traisental,verein@lebenswertes-traisental.at,franzbertl54@gmail.com,,Franz Bertl,,,25.01,,,,
,Lebenswertes Waldviertel,https://www.lebenswertes-waldviertel.at/,info@lebenswertes-waldviertel.at,,,,,25.01,,,,
,Metamorphosis 2050,,info@m2050.org,‭0664 8559281‬,Dieter Schmidradler,,Martin,,,,,
,Museum FF,anitascharl@gmail.com,austria@museumsforfuture.org, anita_scharl@yahoo.de,Elisabeth Feinig,,,25.01,,,,
,Nachhalting in Baden,https://www.nachhaltig-in-baden.com/,heidrun@nachhaltig-in-baden.com,,,,Martin,25.01,,,,
,NÖ Berg- und Naturwacht,,landesleitung@bergwacht-noe.com,,,,,25.01,,,,
,Pioneers of Change,,info@pioneersofchange.org,+43 (0)670 -206 67 70,Martin Kirchner,,Flora,25.01,ja (Flora),Newsletter Mobi,,
,Stattgarten,https://www.facebook.com/pg/stattgartenstp/about/?ref=page_internal,stattgartenstp@gmail.com,,,,,25.01,,,,
,S34 Initiative,,,0664 3260660,Higer Bernhard,,Johanna,,,,,
,Doctors for Future,,heidrun@nachhaltig-in-baden.com,,Heidrun Chen,,Martin,,,,,
,Bundesverband nachhaltige Mobilität,www.bvmobil.at,bvmobil@hotmail.com,0043 664 144 81 98,Doris Holler-Bruckner,,Martin,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Andere Orgas,,,,,,,,,,,,
,Südwind Niederösterreich,https://www.suedwind.at/niederoesterreich/,noe@suedwind.at,02622/248 32,,,Flora,25.01,ja (flora),"mobi (SoMe), evtl. dabei",,
,Speisekammer Pöggstall,https://foodcoops.at/2016/06/07/speisekammer-poeggstall/,speisekammer_poeggstall@gmx.at,,,,,25.01,,,,
,soogut,,w.brillmann@soogut.at,,Wolfgang Brillmann,,Johanna,25.01,,,,
,Gebirgsverein,https://www.gebirgsverein-stpoelten.at/,stpoelten@gebirgsverein.at,(nicht gefunden),,,,25.01,,,,
,Bürgerplattform Pro St. Pölten,http://www.buergerplattformprostp.at/,buergerplattformprostp@gmail.com,,,,,25.01,,,,
,Charly Rottenschlager,,karl.rottenschlager@emmaus.at,,,,,25.01,,,,
,Gutmenschen St. Pölten,https://www.facebook.com/GutmenschenStp/,gutmenschen@gmx.at,,,,,25.01,noch auf FB geschrieben,,,
,Hokoldo,http://www.hofkollektiv-zwetschke.net/foodcoop/,zwetschke@riseup.net,,,,,25.01,,,,
,Waldkindergartengruppe Krems,,,,,,anschreiben!!,,,,,
,Alpenverein St. Pölten,,"jugend.st.poelten@sektion.alpenverein.at, st.poelten@sektion.alpenverein.at, norman@schmid-schmid.at",0664-1626250,Dr. Norman Schmid,,Johanna,25.01,,dabei,,
,Alpensvereinsjugend NÖ,,"niederoesterreich@jugend.alpenverein.at, office.noe@jugend.alpenverein.at ",0680/3066655,,,Johanna,09.02,,unklar,,
,Ärztinnen und Ärzte für eine gesunde Umwelt,,info@aegu.net,,,,,25.01,,,,
,,,hans-peter.hutter@meduniwien.ac.at,,Hans-Peter Hutter,,,,,,,
,,,hanns.moshammer@meduniwien.ac.at,,Hanns Moshammer,,,,,,,
,Arbeiterkammer NÖ,,,,,,Valentin ,9.2,9.2,"Rückmeldung: Sie werden den Streik Medial (Facebook, Newsletter und im internen INFO Verteiler) aufnehmen. mehr aber ned",,
,Seebrücke Herzogenburg,https://seebruecke.org/mach-mit/oesterreich/niederoesterreich/herzogenburg,niederösterreich@seebruecke.org,,,,,25.01,,,,
,Katholische Jungschar der Diözese St. Pölten,www.stp.jungschar.at,stp.jungschar@kirche.at,02742/324-3354,,,anschreiben!!,,,,,
,Katholische Jungschar Dreikönigsaktion,https://www.dka.at/wer-wir-sind/kontakte-in-den-dioezesen,stp.sternsingen@kirche.at,,,,anschreiben!!,,,,,
,Katholische Aktion,http://www.ka-stpoelten.at/einrichtungen/katholischeaktion/erreichbarkeit,ka.stpoelten@kirche.at,,,,anschreiben!!,,,,,
,Südwind Wr. Neustadt,,,02622/248 32,(Alina hat pers Kontakt zu Anna),,Fora,09.02,ja,,,
,evangelische Kirche,,,,,,Martin,,,,,
,katholischen Jugend NÖ,,,,,,Johanna,"hier gibt es nur die Diözese St. P, keine NÖ weite ",,,,
,Caritas NÖ,,,,,,Valentin,16.02,stefan.schmalhofer@caritas-stpoelten.at <stefan.schmalhofer@caritas-stpoelten.at>,"Die Caritas Young wird Medial werbung machen. Sie werden auch kommen. //ende nächster woche jour fix danach meldet er sich. 
Stefan Schmalhofer (25.2)",,
,Emmaus ,,,,über Franz Angerer,,Johanna,,,,,
,Verein Wohnen,,,,,,Valentin,,,,,
,Volkshilfe NÖ,,"center@noe-volkshilfe.at, beatrix.dunkl@noe-volkshilfe.at",02622 / 82200,Beatrix Dunkl,,Johanna,09.02,ja,,,
,Vier Pfoten,https://www.vier-pfoten.at/ueber-uns/kontakt,office@vier-pfoten.at,,,,Flora,09.02,ja,,,
,ÖGB - Österreichischer Gewerkschaftsbund,,niederoesterreich@oegb.at,02742 26655,,,anschreiben!!,,,,,
,Evangelische methodistische Kirche,https://www.emk.at/de/gemeinden/st-poelten,stpoelten@emk.at,0043 664 114 30 10,,,anschreiben!!,,,,,
,Omas gegen Rechts,https://omasgegenrechts.at/kontakt/,,,,,anschreiben!!,,,,,
,Linkes St. Pölten,https://www.instagram.com/linkes.stp/,linkes.stp@protonmail.com,,,,anschreiben!!,,,,,
,Caritas St. Pölten,https://www.caritas-stpoelten.at/,info@caritas-stpoelten.at,0043 2742 844 0,,,anschreiben!!,,,,,
,Niederösterreichischer Blasmusikverband,,office@noebv.at,,,,Antonia G.,28.2.,,,,
,Westbahn,,,,,,Antonia G.,KW 8,"Unabhängig vom Alter können alle, die am 25. März in einem der beiden genannten Züge (Amstetten ab 11.40 Uhr, St. Pölten an 12.02 Uhr bzw. Wien ab 11.40 Uhr, St. Pölten an 12.07 Uhr) zum Klimastreik nach St. Pölten anreisen, den Halbpreis in Anspruch nehmen. Dazu müssen sie vorab online ein Halbpreis-Ticket buchen und sich im Zug für die Inanspruchnahme des ermäßigten Tarifs mit einem eindeutig erkennbaren Demo-Schild „legitimieren“. ",,,
,ÖBB,,,,,,Antonia G.,KW 8,nein,,,
,,,,,,,,,,,,
Andere Menschen,,,,,,,,,,,,
,Martina Feirer (für VstattOU),,m.feirer@aap.or.at,,,,Alina,7.2.,ja,dabei,,
,ZUUM,,verein@zuum.at ,,0699 11176565,,Veronika,25.1.,"12.2. Mail versendet, Anruf für 14.2. geplant",,,
,Sonnenpark,http://www.sonnenpark-stp.at,info@sonnenpark-stp.at,,Rebecca Pöck,,Johanna / Andi,25.1.,,,,
,LAMES,,office@lames.at,,Andi Fränzl,,Johanna,25.1.,,,,
,,,,,,,,,,,,
Neue Orgas,,,,,,,,,,,,
,NÖ Landesfeuerwehrverband,,noelfv@feuerwehr.gv.at,,,,,,,,,
,FF St. Pölten,,office@feuerwehr-stpoelten.at,,,,,,,,,
,FF Krems,,office@feuerwehr-krems.at,,,,,,,,,
,FF Tulln ,,tulln-stadt@feuerwehr.gv.at,,,,,,,,,
,FF Waithofen ,,,,,,,,,,,
,FF Palt,https://www.ff-palt.at/,,,,,,,,,,
,FF Mautern ,,,,,,Max,,,,,
,FF Gföhl,http://www.feuerwehr.gfoehl.at/page.asp/-/Kontakt,,,,,,,,,,
,FF Dürnstein,,feuerwehr@duernstein.at,,,,,,,,,
,FF Großheinrischsschlag,,ffgrossheinrichschlag@aon.at,,,,,,,,,
,FF St. Leonhard/Hornerwald,,ff-sankt-leonhard@aon.at,,,,,,,,,
,FF Weißenkirchen,,weissenkirchen@feuerwehr.gv.at,,,,,,,,,
,FF Jaidhof,,christian.gruber@feuerwehr.gv.at,,,,,,,,,
,FF Viehofen,https://www.facebook.com/feuerwehrviehofen,,,,,,,,,,
,FF Wilhelmsburg,,oeffentlichkeitsarbeit@feuerwehr-wilhelmsburg.at,,,,,,,,,
,FF Herzogenburg,,Herzogenburg-Stadt@feuerwehr.gv.at,,,,,,,,,
,FF St. Pölten - Ratzersdorf,,st.poelten-ratzersdorf@feuerwehr.gv.at,,,,,,,,,
,FF Atzenbrugg,,info@ff-atzenbrugg.at,,,,,,,,,
,FF Ober-Grafendorf,,ober-grafendorf@feuerwehr.gv.at,,,,,,,,,
,FF Etsdorf,,feuerwehr@feuerwehr-etsdorf.at,,,,,,,,,
,FF St. Pölten - Spratzern,https://www.facebook.com/FeuerwehrSpratzern/,,,,,,,,,,
,FF St. Pölten - Wagram,,https://feuerwehr-wagram.at/kontakt/,,,,,,,,,
,FF Langenlois,,,02734/77122,,,,,,,,
,Jugendfeuerwehr Niederösterreich,http://jugend.feuerwehrjugend-noe.at/,admin@feuerwehrjugend-noe.at,,,,,,,,,
,Jugendrotkreuz Niederösterreich,,jugendrotkreuz@n.roteskreuz.at,059144 / 50 800,,,,,,,,
